Date,AAPL,AMZN,COP,CVX,GOOG,HES,INTC,ORCL,OXY,XOM
2013-04-22,14.238213539123535,13.177499771118164,57.38999938964844,116.56999969482422,,67.9000015258789,22.8799991607666,32.52000045776367,77.18142700195312,88.08999633789062
2013-04-23,14.504643440246582,13.444999694824219,57.779998779296875,117.4800033569336,,68.20999908447266,23.3799991607666,32.459999084472656,78.2640380859375,89.30000305175781
2013-04-24,14.480713844299316,13.439000129699707,58.2599983215332,118.27999877929688,,70.12000274658203,23.65999984741211,32.5099983215332,80.79331970214844,89.43000030517578
2013-04-25,14.585000038146973,13.734999656677246,58.369998931884766,118.51000213623047,,71.16000366210938,23.3799991607666,32.27000045776367,81.962158203125,88.06999969482422
2013-04-26,14.899999618530273,12.740500450134277,58.90999984741211,120.04000091552734,,70.98999786376953,23.399999618530273,32.36000061035156,83.02560424804688,88.0
2013-04-29,15.361429214477539,12.487000465393066,59.900001525878906,121.31999969482422,,72.19999694824219,23.760000228881836,32.2400016784668,84.17527770996094,88.20999908447266
2013-04-30,15.813570976257324,12.690500259399414,60.45000076293945,122.01000213623047,,72.18000030517578,23.950000762939453,32.779998779296875,85.51656341552734,88.98999786376953
2013-05-01,15.688928604125977,12.411499977111816,60.0099983215332,120.2699966430664,,70.70999908447266,23.989999771118164,33.15999984741211,83.87828063964844,87.51000213623047
2013-05-02,15.911429405212402,12.6274995803833,60.959999084472656,122.04000091552734,,72.20999908447266,24.110000610351562,33.689998626708984,84.3956298828125,88.62999725341797
2013-05-03,16.070714950561523,12.90250015258789,61.91999816894531,123.48999786376953,,73.0,23.959999084472656,33.380001068115234,86.95365142822266,90.0199966430664
2013-05-06,16.453929901123047,12.78600025177002,62.220001220703125,123.25,,72.45999908447266,23.90999984741211,33.5099983215332,85.61236572265625,90.58000183105469
2013-05-07,16.380714416503906,12.886500358581543,62.84000015258789,123.04000091552734,,72.26000213623047,24.149999618530273,33.2599983215332,85.5069808959961,91.1500015258789
2013-05-08,16.56571388244629,12.934000015258789,62.59000015258789,123.36000061035156,,71.88999938964844,24.25,33.459999084472656,85.53572082519531,91.69999694824219
2013-05-09,16.313213348388672,13.008000373840332,62.58000183105469,123.63999938964844,,70.95999908447266,24.360000610351562,33.70000076293945,84.50101470947266,91.02999877929688
2013-05-10,16.177499771118164,13.181500434875488,62.22999954223633,123.2300033569336,,69.30000305175781,24.5,34.02000045776367,85.43033599853516,90.13999938964844
2013-05-13,16.240713119506836,13.225500106811523,62.0,122.8499984741211,,69.38999938964844,24.079999923706055,33.779998779296875,86.7332992553711,90.0999984741211
2013-05-14,15.852143287658691,13.416500091552734,63.060001373291016,125.0,,72.22000122070312,23.84000015258789,33.66999816894531,87.21233367919922,91.11000061035156
2013-05-15,15.316070556640625,13.32800006866455,62.41999816894531,123.01000213623047,,70.5999984741211,24.200000762939453,33.9900016784668,87.11652374267578,91.23999786376953
2013-05-16,15.520713806152344,13.206000328063965,62.43000030517578,122.76000213623047,,69.11000061035156,23.940000534057617,34.369998931884766,87.21233367919922,90.69999694824219
2013-05-17,15.473570823669434,13.494999885559082,63.310001373291016,123.41999816894531,,69.68000030517578,24.040000915527344,35.029998779296875,88.94641876220703,91.76000213623047
2013-05-20,15.818928718566895,13.381500244140625,64.02999877929688,124.77999877929688,,69.72000122070312,24.079999923706055,34.900001525878906,89.76077270507812,92.5199966430664
2013-05-21,15.702142715454102,13.442999839782715,64.30999755859375,125.94000244140625,,69.61000061035156,24.149999618530273,35.099998474121094,89.15719604492188,92.80000305175781
2013-05-22,15.762499809265137,13.14799976348877,62.7400016784668,124.93000030517578,,68.58000183105469,24.06999969482422,34.119998931884766,87.2793960571289,92.19000244140625
2013-05-23,15.790714263916016,13.09000015258789,62.790000915527344,125.4000015258789,,68.04000091552734,24.049999237060547,34.22999954223633,86.7332992553711,91.79000091552734
